path_or_group,current_role,classification,evidence,planned_destination,related_task
".gitignore","Ignore policy","Keep but refactor","Cache rules work; mapper/model/log rules are scoped to nonexistent root-level paths","repository root with corrected app-relative patterns and explicit Tower-map exception","CLEAN-003"
".python-version; pyproject.toml; requirements.txt; foreground_vision_bot/requirements_mapper_rl.txt","Python/tool/dependency declarations","Merge into another module","Python 3.10.7 declaration, minimal Ruff config, old pinned runtime requirements, and unpinned RL supplement disagree","one validated project configuration/dependency set","DOC-001"
"LICENSE.md","License","Keep as-is","Repository legal metadata; no refactor dependency","repository root","DOC-004"
"AGENTS.md; README.md","Tracked guidance/readme, currently deleted","Unknown/requires runtime confirmation","Both are pre-existing deletions; content/provenance belongs to user state","repository root or intentionally removed by user","AUD1-004"
"docs/runtime_architecture.md","Architecture documentation","Keep but refactor","Describes current runtime and will become stale during target-architecture work","ARCHITECTURE.md/reference docs","DOC-001"
"foreground_vision_farm.json; foreground_vision_bot/foreground_vision_farm.json","CWD-dependent PySimpleGUI settings copies","Replace","Gui selects settings path '.'; copies differ and root copy is pre-deleted","explicit per-user application settings path","GUI-001"
"foreground_vision_bot/foreground_vision_farm.py; Bot.py; Gui.py","Composition root and large facades","Keep but refactor","Current GUI launch, preview/map/native adapters, and all map commands are reachable","app/, ui/, game/vision adapters","GUI-001"
"foreground_vision_bot/runtime_controller.py; runtime_bus.py; worker_manager.py; capture_service.py; preview_service.py; project_paths.py","Runtime services and paths","Keep but refactor","Current GUI constructs these directly; map/capture/control dispatch is live","runtime/ plus central project config","GUI-002"
"foreground_vision_bot/native_farming.py; native_farming.json","Unified farming composition/config","Keep but refactor","Active GUI RL modes; config still carries movement-navigator fields","farming/session.py and typed farming config","FARM-003"
"foreground_vision_bot/libs/NativeFarmingEnv.py; NativeFarmingObservation.py; V0672NativeFarmingFixes.py; V0673EvaMovementFix.py; V0674OrbitGuard.py; V0700UnifiedFarming.py; V0707TeleportSafety.py","Layered native farming implementation","Merge into another module","Imported and installed in order; final unified behavior is monkeypatched over hierarchical code","canonical farming env/observation/reward/session modules","FARM-001"
