capability_id	original_owner_source	original_entrypoint_user_surface	current_canonical_owner	current_invocation_user_surface	disposition	supporting_evidence	verification_status	migration_disposition	unresolved_concern
A1_dev_app_entrypoint	foreground_vision_bot/foreground_vision_farm.py	python foreground_vision_farm.py (from foreground_vision_bot/)	apps/dev_app.py	python -m apps.dev_app	CURRENT_CANONICAL	docs/architecture/SYSTEM_OVERVIEW.md sec 2; tests/test_canonical_module_invocation.py	VERIFIED (source read + test re-run this phase)	MOVE_AND_RENAME (Phase 7/10)	none
A2_gui	Gui.py (pre-collapse, under foreground_vision_bot/)	main window, all controls	Gui.py (repo root)	launched by apps/dev_app.py	CURRENT_CANONICAL	Gui.py direct read (module-level gui=Gui("DarkAmber")); docs/architecture/SYSTEM_OVERVIEW.md sec 3	VERIFIED (source read)	MOVE (Phase 7)	Gui.py not safely importable for live-window tests (constructs live objects at import) -- documented, not a defect
A3_runtime_bus	runtime_bus.py (pre-existing)	internal, not user-facing	runtime_bus.py (repo root)	shared instance constructed by Gui.py	CURRENT_CANONICAL	docs/architecture/SYSTEM_OVERVIEW.md sec 3; Phase-10 report	VERIFIED (re-confirmed this phase via source read)	UNCHANGED	none
A4_runtime_controller	runtime_controller.py	internal	runtime_controller.py (repo root)	owned by Gui.py	CURRENT_CANONICAL	git diff 77dc6e5 -- runtime_controller.py empty (Phase 11 finding, re-confirmed)	VERIFIED	UNCHANGED	R1b coupling to farming.trainer -- documented, not orphaned (see B10)
A5_session_statistics	farming training status reporting (pre-collapse)	GUI status text	farming/reporting.py + Gui.py status panel	visible during training	CURRENT_CANONICAL	farming/reporting.py exists and tracked; tests/test_farming_training_session.py exercises it (2 of the 4 accepted baseline failures live here -- see PHASE14_REPORT.md sec 16)	VERIFIED (file exists, tests run this phase)	UNCHANGED	2 accepted pre-existing test failures audited in PHASE14_REPORT.md sec 17, not migration-induced
A6_map_vision_panels	Bot Vision / mob markers / UI-element detection previews (pre-collapse)	GUI preview panel + 3 checkboxes	Gui.py preview controls, Bot.py build_preview	visible during attach	CURRENT_CANONICAL	docs/RUNBOOK.md (superseded, still describes the 3-control panel); Gui.py source	VERIFIED (source read; RUNBOOK.md's control-panel description not contradicted by any later phase)	UNCHANGED (button-level layout not re-verified live, per live-execution prohibition)	none
A7_devtools_panel	none (did not exist pre-migration)	none	devtools/gui_tools.py DevToolsGuiController	Gui.py "Development Tools:" Frame	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md; tests/test_devtools_gui_tools.py (17), tests/test_gui_devtools_wiring.py (8)	VERIFIED (25 dedicated tests, re-run this phase as part of full suite)	NEW_IN_PHASE_10 (fills a real pre-migration gap: no unified specialist launcher existed)	none
A8_specialist_process_launch	ad hoc manual script invocation (pre-collapse)	manual terminal commands per tool	devtools/processes.py SpecialistProcessManager	Development Tools panel: launch/status/cancel	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md; tests/test_devtools_process_orchestrator.py	VERIFIED (re-run this phase)	NEW_IN_PHASE_10	none
A9_app_shutdown_ownership	ad hoc (pre-collapse)	window close	Gui.__shutdown -> dev_tools.shutdown(5s) -> controller.shutdown(8s)	window close / Stop	CURRENT_CANONICAL	Gui.py source (direct read); docs/architecture/SYSTEM_OVERVIEW.md sec 3	VERIFIED (source read this phase)	UNCHANGED ownership chain, ADDED dev_tools step (Phase 10)	none
B1_observation	foreground_vision_bot/farming/observation*.py	internal (policy input)	farming/observation.py, farming/observation_contract.py	internal, all training/inference	CURRENT_CANONICAL	CANONICAL_OWNERS.toml observation_schema_id/observation_size concepts; docs/architecture/DATA_AND_MODEL_CONTRACTS.md	VERIFIED	MOVE (Phase 4) + CONTRACT_EXTENDED (923+5 sidecar, post-migration navigation refactor)	none
B2_actions	foreground_vision_bot/farming/actions.py	internal	farming/actions.py	internal	CURRENT_CANONICAL	CANONICAL_OWNERS.toml farming_action_contract concept	VERIFIED	MOVE (Phase 4) + CONTRACT_CHANGED (Discrete(5) -> MultiDiscrete([3,3]), pre-dates Phase 0 baseline per checkpoint evidence)	none
B3_control	foreground_vision_bot DirectFarmingControl (docs/ARCHITECTURE.md reference)	internal	farming/control.py	internal, used by runtime_controller.py	CURRENT_CANONICAL	farming/control.py tracked and present; docs/ARCHITECTURE.md (superseded doc) describes DirectFarmingControl's role	VERIFIED file exists; exact current class name not individually re-diffed against the old doc this phase	MOVE (Phase 4), assumed unchanged in role	Minor: docs/ARCHITECTURE.md's DirectFarmingControl class-name detail not freshly re-verified against current farming/control.py source this phase -- BEST_CURRENT_ESTIMATE, not blocking (file demonstrably exists and is imported by current code paths)
B4_lifecycle_session	foreground_vision_bot/farming/session.py	internal	farming/session.py	internal	CURRENT_CANONICAL	CANONICAL_OWNERS.toml farming_session_contract concept (SessionOutcome, SessionEndReason)	VERIFIED	MOVE (Phase 4)	none
B5_environment	foreground_vision_bot/farming/environment.py	internal (UnifiedFarmingEnv / RecordedFarmingEnv)	farming/environment.py	internal, used by trainer.py and simulator/*	CURRENT_CANONICAL	farming/environment.py tracked; imported by simulator/environment.py, simulator/navigation_history.py (git grep confirmed)	VERIFIED (file exists, import edges confirmed via git grep this phase)	MOVE (Phase 4)	none
B6_model_training_interfaces	foreground_vision_bot/farming trainer glue (pre-collapse)	GUI Start Training / Run Trained Agent buttons	farming/trainer.py, farming/sb3_adapter.py, farming/sb3_training.py	Gui.py buttons -> runtime_controller.py -> farming.trainer (R1b exception)	TRAINING_ONLY (dependency host) / CURRENT_CANONICAL (as dev-app functionality)	docs/architecture/SYSTEM_OVERVIEW.md sec 4; CANONICAL_OWNERS.toml serialized_farming_training_api concept	VERIFIED (re-confirmed this phase: git diff HEAD -- runtime_controller.py empty)	UNCHANGED, explicitly not redesigned (R1b)	R1b coupling remains a real architectural constraint (documented, not orphaned) -- see B10
B7_configuration	foreground_vision_bot/native_farming.json	config file	native_farming.json (repo root) + farming/config.py	loaded at dev-app startup	CURRENT_CANONICAL	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 2 (sha 45e97da6...)	VERIFIED (Phase 11 hash evidence)	MOVE (Phase 4/7)	Config KEY-level table in docs/CONFIGURATION.md not individually re-verified against farming/config.py this phase (documented BEST_CURRENT_ESTIMATE in KNOWN_DEBT.md already)
B8_reporting	foreground_vision_bot/farming reporting (pre-collapse)	session JSON reports	farming/reporting.py	training_logs/farming/native_sessions (per superseded RUNBOOK.md; not re-verified live)	CURRENT_CANONICAL	farming/reporting.py tracked and present	VERIFIED file exists	MOVE (Phase 4), assumed unchanged in role	Exact output path convention not re-verified against current farming/reporting.py source this phase -- low risk, non-blocking
B9_map_context	foreground_vision_bot/farming/map_context.py	internal	farming/map_context.py	internal, used by trainer/environment	CURRENT_CANONICAL	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md (mapper.rl lazy-dispatch tracing origin point)	VERIFIED (Phase 11 evidence, re-confirmed this phase)	MOVE (Phase 4)	none
B10_r1b_trainer_coupling	N/A (dev-app design constraint, discovered not created by migration)	N/A	runtime_controller.py -> farming.trainer (4 exact symbols)	internal, GUI-triggered training control	CURRENT_CANONICAL (dev-app functionality, explicitly excluded from future-runtime candidate)	docs/architecture/SYSTEM_OVERVIEW.md sec 4; tests/test_dev_app_import_closure.py::TestExceptionMechanismIsExact	VERIFIED (re-confirmed this phase)	UNCHANGED, unwidened	Future redesign (subprocess-safe attachment) not assigned to any phase -- documented known debt, not a migration defect
C1_player_position	flyff_farming_recorder/position/NativeFlyffPositionProvider.py (compat facade origin)	internal	position/NativeFlyffPositionProvider.py	internal, used by Bot.py	CURRENT_CANONICAL	CANONICAL_OWNERS.toml native_position_stack concept	VERIFIED	MOVE (Phase 5)	none
C2_monster_reader	flyff_farming_recorder/position/NativeFlyffMonsterProvider.py (compat facade origin)	internal	position/NativeFlyffMonsterProvider.py	internal	CURRENT_CANONICAL	CANONICAL_OWNERS.toml native_position_stack concept	VERIFIED	MOVE (Phase 5)	none
C3_dynamic_actor_discovery	position/AuthoritativeActorDiscovery.py (pre-collapse origin)	internal	position/AuthoritativeActorDiscovery.py	internal	CURRENT_CANONICAL	docs/architecture/POSITION_AND_POINTER_RECOVERY.md sec 2; direct source read this phase (position/ confirmed unchanged every phase)	VERIFIED	MOVE (Phase 5)	G5 criterion 1 (player/monster-anchor exclusion) still live-unvalidated -- expected, not a defect
C4_pointer_recovery	position/NativePointerRecovery.py (pre-collapse origin)	Recover Pointers GUI button (per superseded RUNBOOK.md)	position/NativePointerRecovery.py	Gui.py diagnostic worker (button-level layout not re-verified live)	CURRENT_CANONICAL, USER_RUN_LIVE_VALIDATION_PENDING	docs/architecture/POSITION_AND_POINTER_RECOVERY.md secs 2-3; docs/validation/G5_REAL_CLIENT_VALIDATION.md	VERIFIED offline (file present, mechanics documented); NOT live-validated (G5 pending, by design)	MOVE (Phase 5)	G5 pending -- intentional, not a migration defect
C5_recovered_profiles	%LOCALAPPDATA%\FlyFFCV\native_recovery_profile.json mechanism (pre-collapse origin)	transparent (auto-managed)	position/RecoveredNativeProfile.py	auto-managed, outside repo	CURRENT_CANONICAL, USER_RUN_LIVE_VALIDATION_PENDING	docs/architecture/POSITION_AND_POINTER_RECOVERY.md sec 1 (class fields verified via direct source read this phase and Phase 13)	VERIFIED offline	MOVE (Phase 5)	G5 criterion 3 (save->restore->fast-start) pending live confirmation
C6_live_attach_policy	implicit in pre-collapse Bot.__init__	internal	position/policy.py LIVE_ATTACH_POLICY	Bot.py attach path	CURRENT_CANONICAL	position/policy.py direct source read (Phase 13 and re-confirmed this phase)	VERIFIED	FORMALIZED (explicit AttachPolicy dataclass; pre-migration behavior was presumably equivalent but implicit)	none
