candidate_path	phase	gate_or_artifact	applicability	reasoning	disposition
scratchpad_single_obstacle_train.py	Phase-0	backup/baseline integrity	not_applicable	File was already present, untracked, byte-identical in the external Phase-0 snapshot itself (docs/migration/PHASE7_UNTRACKED_SOURCE_PROVENANCE.tsv). No baseline re-freeze needed; the Phase-0 snapshot already covers this content.	no_action
scratchpad_single_obstacle_train.py	Phase-1	worktree collapse / import origin	applicable	Must resolve as a plain top-level import from the collapsed repo root after promotion.	satisfied_by_destination_check (repo root, no collision, verified via AST scan)
scratchpad_single_obstacle_train.py	Phase-2	G4/G10a/G11 fingerprints, G10b checkpoint load	not_applicable	Not one of the fingerprinted core modules (simulator/farming/environment); does not define, load, or reference a new checkpoint contract. Uses only the existing frozen SplitSteeringNavigationPolicy contract indirectly via tracked training APIs.	no_fingerprint_rerun_required_for_this_file
scratchpad_single_obstacle_train.py	Phase-3	golden fixture capture/check (10 fixtures)	not_applicable	Produces and consumes none of the 10 declared fixtures; no fixture regeneration triggered by its presence.	no_action
scratchpad_single_obstacle_train.py	Phase-4	G3/G-GEO/B1 contracts	indirectly_relevant	Supplies get_reference_movement, consumed by tests/test_kinodynamic_route_planner.py (G8c-adjacent), but does not itself implement geometry/farming logic; G3/G-GEO gate targets farming/observation.py and simulator geometry, unaffected by this file's presence.	no_gate_status_change
scratchpad_single_obstacle_train.py	Phase-5	G1/NP/G9/B2	not_applicable	No position/farming bridge logic touched.	no_action
scratchpad_single_obstacle_train.py	Phase-6	G11/G12/MAP6 map profiles	not_applicable	Builds a runtime obstacle map via existing tracked map-builder functions; does not define or edit any map profile.	no_action
scratchpad_single_obstacle_train.py	Phase-7	move manifest / test conservation / historical guard / bridge state	applicable_forward_only	File was untracked at Phase-7 move time, so it is correctly absent from PHASE7_MOVE_MANIFEST.tsv and the 160-test conservation inventory; this repair adds it via a forward addendum, never by rewriting those frozen artifacts. Historical guard REQUIRED_FILES list unaffected (this file is not one of its hash-checked entries). Bridge state (B1/B2 removed, B3 present, B4 permanent) unaffected.	forward_addendum_only_no_rewrite
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-0	backup/baseline integrity	not_applicable	Already present, untracked, byte-identical in the external Phase-0 snapshot. No baseline re-freeze needed.	no_action
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-1	worktree collapse / import origin	applicable	Must resolve as a plain top-level import from the collapsed repo root after promotion; 4 tracked importers (2 tests, 2 tracked root scratchpads) depend on this resolving correctly.	satisfied_by_destination_check (repo root, no collision, verified via AST scan)
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-2	G4/G10a/G11 fingerprints, G10b checkpoint load	not_applicable	Not a fingerprinted core module; RewardAblationWrapper/eval_held_out/LIVING_COST/GAMMA are training-utility helpers, not part of the checkpoint identity contract. No new checkpoint defined or loaded by this file.	no_fingerprint_rerun_required_for_this_file
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-3	golden fixture capture/check (10 fixtures)	not_applicable	Produces/consumes none of the 10 declared fixtures.	no_action
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-4	G3/G-GEO/B1 contracts	indirectly_relevant	Consumed by tests/test_reward_ablation_wrapper_contract.py, which tests reward-shaping behavior, not farming-observation geometry; G3/G-GEO gate scope (farming/observation.py, simulator geometry) is unaffected.	no_gate_status_change
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-5	G1/NP/G9/B2	not_applicable	No position/farming bridge logic touched.	no_action
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-6	G11/G12/MAP6 map profiles	not_applicable	Does not define or edit map profiles; operates on the existing open-waypoint environment only.	no_action
scratchpad_generalized_waypoint_train_reward_ablation.py	Phase-7	move manifest / test conservation / historical guard / bridge state	applicable_forward_only	Untracked at Phase-7 move time, correctly absent from PHASE7_MOVE_MANIFEST.tsv and the 160-test conservation inventory; added here via forward addendum only. Historical guard REQUIRED_FILES list unaffected. Bridge state unaffected.	forward_addendum_only_no_rewrite
