category	path_or_category	retention_reason	future_gate	destructive_action_blocked	notes
MIGRATION_TEST_CONTRACT	foreground_vision_bot/farming/*.py (9 files: __init__, actions, model_contract, map_masks, reward, session, observation, map_features, map_profile)	Load-bearing for docs/migration/tests/test_phase4_contracts.py::check_b1 (direct unconditional file reads + AST parse of foreground_vision_bot/farming/__init__.py's __all__, identity-checked against canonical farming)	CANONICAL_OWNERS.toml removal_gate corrected this phase from PHASE_12 to NEVER (existing sentinel, not invented) -- deletion becomes possible only if test_phase4_contracts.py's B1 checks are deliberately retired/adapted, a decision about permanently-scoped migration evidence, not a phase number	deletion, rename, path mutation	Confirmed zero behavioral statements in every shim (check_b1's has_behavior_definitions == False); all 11 docs/migration/tests/test_phase{4,5}_contracts.py tests + test_migration_integrity.py's 25 tests (48 total) re-run and pass this phase, including after the gate correction
MIGRATION_TEST_CONTRACT	flyff_farming_recorder/position/*.py (23 files, 7 registered in CANONICAL_OWNERS.toml + 16 unregistered siblings)	Load-bearing for docs/migration/tests/test_phase5_contracts.py::check_b2 (exact glob-count == 23 against the frozen 23-row docs/migration/PHASE5_B2_SHIM_MANIFEST.tsv, plus a live subprocess identity-import probe of IndependentNativeReader.py)	The 7 registered shims' CANONICAL_OWNERS.toml removal_gate corrected this phase from PHASE_12 to NEVER (existing sentinel, not invented) -- deletion possible only if check_b2 is deliberately retired/adapted, a decision about permanently-scoped migration evidence, not a phase number	deletion, rename, path mutation	CANONICAL_OWNERS.toml only formally registers 7 of these 23; the other 16 are equally protected by check_b2's directory-level glob/manifest match but have no removal_gate to correct (never registered). Registry-completeness gap noted, not fixed this phase (documentation-only, not a deletion gate)
MIGRATION_TEST_CONTRACT / RESOURCE	flyff_farming_recorder/position/native_monsters.json	Read directly by check_g9, compared against docs/migration/EFFECTIVE_CONFIG_BASELINE.json's frozen expected values	Same as above	deletion	Distinct sha256 from canonical root position/native_monsters.json (recorder-side copy, presence-key exclusions handled explicitly by check_g9)
RESOURCE (unconfirmed consumer)	flyff_farming_recorder/position/native_position.json	No positive evidence of a current consumer was found this audit pass; per Section 3, absence of a found consumer is not proof of safety	A dedicated future audit could positively confirm zero consumers before this is reconsidered	deletion	Conservative retain, not a proven-necessary retain like its sibling native_monsters.json
G5	position/RecoveredNativeProfile.py, position/NativePointerRecovery.py, position/AuthoritativeActorDiscovery.py, and the rest of the canonical native pointer-recovery/discrimination stack under root position/ (current dev-app source, never a Phase-12 candidate)	G5 (player recovery + monster-anchor exclusion in real sessions, fresh-PID restart, RecoveredNativeProfile save->restore->fast-start, presence_validation_source activation, RECORDING_ATTACH_POLICY G7 end-to-end) is intentionally still PENDING	AFTER development bot functionality is sufficiently complete, BEFORE deleting any G5-gated rollback source -- may occur later in development, not automatically tied to Phase 13	any deletion, redesign, or rollback-source removal	Not a Phase-12 deletion candidate at all (canonical current source); recorded here per Section 23's explicit instruction to make this category visible. The flyff_farming_recorder/position/*.py re-exports of these same names are pure facades with zero logic (see MIGRATION_TEST_CONTRACT row above) -- G5-adjacent by name only
G5_P2	position live-attach discrimination policy (LIVE_ATTACH_POLICY, anchor_base_exclusion) as currently implemented	G5-P2 (promoting/changing LIVE_ATTACH_POLICY discrimination) is intentionally still PENDING; no live policy migration occurred this phase	Only if LIVE_ATTACH_POLICY discrimination is intentionally changed in a future phase -- separate decision from G5	policy discrimination changes, anchor_base_exclusion enablement, removal of the current preserved discrimination behavior	Confirmed unchanged this phase: no product/import-path code affecting position/attachment behavior was touched (git diff HEAD against the position/ package is empty except for files this phase did not touch)
RUNTIME_ABI	simulator/split_branch_policy.py	Required by the frozen checkpoint ABI (serialized SplitSteeringNavigationPolicy/SplitSteeringEventPolicy); removal_gate=NEVER in CANONICAL_OWNERS.toml, unrelated to this phase's own findings	NEVER_WITHOUT_CHECKPOINT_GATE (per CANONICAL_OWNERS.toml)	deletion, consolidation, algorithm reintroduction	git diff HEAD -- simulator/split_branch_policy.py empty; not a real Phase-12 candidate, listed per Section 23
RUNTIME_ABI	simulator/kinodynamic_route_planner.py, simulator/movement_kernel.py	Pickle module-identity compatibility shims (Phase-9 finding: pickle.loads() of a live instance requires a real importable module at this exact path, confirmed via fresh-subprocess round-trip probe); removal_gate=NEVER	NEVER (per CANONICAL_OWNERS.toml)	deletion, path mutation, algorithm reintroduction	git diff HEAD against both empty; behavior-free, re-export-only, re-verified by tests/test_future_derivation_profile.py's duplicate-ownership check this same session (Phase 11)
B4_HISTORICAL	git tag historical-reproduction-baseline-20260815 -> a90de59232b81753c1b2ea35b8990325c26674e5, and all frozen evidence it addresses (docs/migration/CHECKPOINT_INVENTORY.tsv, BASELINE_VIOLATIONS.json/.md, refactor_logs/, PHASE5_B2_SHIM_MANIFEST.tsv, PHASE7_MOVE_MANIFEST.tsv)	Permanent commit/worktree address for the proven 2026-08-15 820M historical reproduction; protecting_rule = protected tag SHA gate	NEVER	deletion, rewrite, tag move, hash alteration	Confirmed unchanged this phase (tag SHA re-verified at entry and exit); no 820M run occurred
PHASE13_CLEANUP	pyproject.toml Ruff per-file-ignore: "foreground_vision_bot/mapper/[A-Z]*.py" = ["N999"]	Cosmetic/stale config path, does not affect any deletion gate this phase (Section 19 of the authorization explicitly names this item and its treatment)	Phase 13 owns final docs/config/path hygiene	none blocked -- simply not touched this phase	Confirmed present and unchanged; a one-line edit with zero behavioral effect, deliberately deferred rather than folded into this phase
