consumer	resource_path	resource_kind	tracked	exists	current_sha256_if_applicable	current_role	future_runtime_candidate	artifact_contract	notes
farming/config.py, farming/trainer.py	native_farming.json	config	yes	yes	45e97da66a958a29455ab1eda0c465dfc14b9b8be8ef30fd73521513b8507d0d	Live/native farming runtime configuration (control policy, thresholds)	yes	none frozen; ordinary tracked config	Read by canonical shared farming config loader; consumed at runtime, not migration-frozen
recorder/config.py	recorder_config.json	config	yes	yes	953edb77da6361cbefbe6c6145b929756b5495eb09811d52aa95ee83bf99714b	Recorder session configuration	no	none frozen	RECORDER_ONLY; a future non-recorder runtime derivative does not need it
position/PositionConfig.py, position/MonsterConfig.py, mapper/CoordinateMapper.py, mapper/ManualDriveMapper.py, devtools/native/scan_native_pointer_workflow.py	position/native_monsters.json	config	yes	yes	b3ba52758526bc4c1f86636b38b64c832439e4cae0671acb50311b0489553785	Native monster-pointer discovery configuration	yes	none frozen; live-tunable native config	SHARED_RUNTIME_CORE input; required by any runtime that reads live monster state
position/PositionConfig.py	position/native_position.json	config	yes	yes	6f073278103a2ec04276767b59642a80c3f4328b2a353d2095f42cd8c2a73242	Native player-position pointer configuration	yes	none frozen; live-tunable native config	SHARED_RUNTIME_CORE input; required by any runtime that reads live player position
none (git grep confirmed zero .py references)	foreground_vision_farm.json	config	yes	yes	2ba3b75132ad22e66d6e118afa4da88a6fa5d8d652b361c7b3aa95451bb8673c	Orphaned/unreferenced	no	none frozen	Dead config, predates the Phase-7 collapse rename of foreground_vision_farm.py -> apps/dev_app.py; not deleted (Section 16: no cosmetic cleanup), flagged as an unresolved_future_choice
recorder/session.py, various recorder consumers	recording_provenance.json	provenance registry	yes	yes	660ed4439ee8e23d6b0df5ad1848858cf141592e620e19f6e9c9c084864db973	Legacy-attestation hash registry (Phase-8 legacy/manifest_compat.py fallback)	no	Phase-8 evidence; not migration-frozen but scientifically meaningful	Used only for archives that predate embedded provenance; irrelevant to a future live-inference runtime
simulator/map_model.py, simulator/synthetic.py	map_assets/coordinate_frame.json	map data	yes	yes	40339f6c397d38fe01d5b3a5300e5b9b6d499f06292f436b1f91ea34523a0414	Simulator Tower coordinate frame	partial (simulator-side only; see notes)	Phase-2/Phase-6 frozen Tower source	SIMULATOR_ONLY per current consumers; a future runtime needing live navigation would consume the mapper/maps/ copy instead (identical bytes, different owner)
simulator/map_model.py, simulator/synthetic.py	map_assets/map.json	map data	yes	yes	faaf8633457bc1bcdb61c781c8ca62c6f2e008174ed5b284c3d6c08df92fe815	Simulator Tower traversability/features map	partial (simulator-side only; see notes)	Phase-2/Phase-6 frozen Tower source	Same Tower source as mapper/maps/tower_aoe/map.json (byte-identical, confirmed) -- the established Phase-6 duplication, not new
simulator/map_model.py, simulator/synthetic.py	map_assets/occupancy.npy	map data	yes	yes	62fa3c9ec3aed0b3b134b82577292c0a8a67b0acc4111fde3a36e3d2684d789b	Simulator Tower occupancy grid	partial (simulator-side only; see notes)	Phase-2/Phase-6 frozen Tower source	Same Tower source as mapper/maps/tower_aoe/occupancy.npy (byte-identical, confirmed)
mapper/MapCatalog.py (maps_root = mapper/maps/)	mapper/maps/tower_aoe/map.json	map data	yes	yes	faaf8633457bc1bcdb61c781c8ca62c6f2e008174ed5b284c3d6c08df92fe815	Live-bot mapper's persisted map catalog entry	yes	Phase-6 frozen Tower source (byte-identical pair)	Owning consumer for a future live-navigation runtime derivative (vs. the simulator's own copy above)
